a/b,SSCS,SSFS,SSSS,SSCC,CCSS,CCCC,SSFC
0.4,8.5,2.1,8.5,9.5,13.5,11.5,2.4
0.45,7.2,2.1,7.2,8.7,13.5,11.5,2.4
0.6,5.8,2.1,5.1,7.1,13.5,11.5,2.4
0.8,5.5,2.1,4.3,7.6,8.2,11.5,2.4
1,5.8,1.6,4.1,8,6.5,10.3,1.9
1.13,6.4,1.3,4.2,7.4,6,9.8,1.65
1.2,6.05,1.2,4.3,7.2,5.8,9.5,1.53
1.4,5.6,1,4.6,7.1,5.5,8.8,1.35
1.6,5.467,0.8,4.2,7.35,5.3,8.4,1.31
1.8,5.6,0.68,4.1,7.3,5.3,8.2,1.35
2,5.8,0.62,4.05,7.1,4.9,8,1.4
2.2,5.67,0.57,4.1,7.2,4.75,8,1.5
2.4,5.5,0.56,4.15,7.2,4.68,7.8,1.6
2.6,5.5,0.55,4.18,7.15,4.61,7.6,1.4
2.8,5.67,0.52,4.18,7.15,4.54,7.5,1.35
3,5.43,0.52,4.18,7.2,4.47,7.4,1.35
3.2,5.35,0.52,4.18,7.2,4.4,7.35,1.35
3.4,5.43,0.52,4.18,7.1,4.38,7.33,1.35
3.6,5.43,0.52,4.18,7.1,4.35,7.3,1.35
3.8,5.43,0.52,4.17,7.1,4.35,7.28,1.35
4,5.43,0.52,4.16,7.1,4.35,7.26,1.35
4.2,5.43,0.52,4.15,7.1,4.35,7.24,1.35
4.4,5.43,0.52,4.14,7.1,4.32,7.22,1.35
4.6,5.43,0.52,4.13,7.1,4.3,7.2,1.35
4.8,5.43,0.52,4.12,7.1,4.28,7.18,1.35
5,5.43,0.52,4.11,7.05,4.25,7.16,1.35
5.2,5.43,0.52,4.1,7.05,4.22,7.14,1.35
5.4,5.43,0.52,4.09,7.05,4.19,7.12,1.35
5.6,5.43,0.52,4.08,7.05,4.16,7.1,1.35
5.8,5.43,0.52,4.07,7.05,4.13,7.08,1.35
6,5.43,0.52,4.06,7.05,4.1,7.06,1.35
