mass [kg]         , skin thickness [mm], stringer thickness [mm], stringer cross-section area [mm2], frame cross-section area [mm2], stringer pitch [mm], frame pitch [mm], stringer/frame material, skin material, stress margin [%]
37.32850946115614 ,  0.5               ,                     0.8,                29.999999999999996,              59.99999999999999,               200.0,            500.0, AA2024-T3              , AA2024-T3    ,   4185.589177890525
38.24332623304397 ,  0.5               ,                     0.8,                29.999999999999996,              59.99999999999999,               200.0,            400.0, AA2024-T3              , AA2024-T3    ,   4185.589177890525
39.74568471115614 ,  0.5               ,                     0.8,                40.0              ,              59.99999999999999,               200.0,            500.0, AA2024-T3              , AA2024-T3    ,   4841.4925403066045
40.66050148304397 ,  0.5               ,                     0.8,                40.0              ,              59.99999999999999,               200.0,            400.0, AA2024-T3              , AA2024-T3    ,   4841.4925403066045
40.98777654870749 ,  0.5               ,                     0.8,                29.999999999999996,              59.99999999999999,               200.0,            300.0, AA2024-T3              , AA2024-T3    ,   4185.589177890525
42.06316272274439 ,  0.6000000000000001,                     0.8,                29.999999999999996,              59.99999999999999,               200.0,            500.0, AA2024-T3              , AA2024-T3    ,   5469.527720593516
42.97797949463222 ,  0.6000000000000001,                     0.8,                29.999999999999996,              59.99999999999999,               200.0,            400.0, AA2024-T3              , AA2024-T3    ,   5469.527720593516
43.404951798707486,  0.5               ,                     0.8,                40.0              ,              59.99999999999999,               200.0,            300.0, AA2024-T3              , AA2024-T3    ,   4841.4925403066045
44.321052148656136,  0.5               ,                     0.8,                29.999999999999996,              59.99999999999999,               100.0,            500.0, AA2024-T3              , AA2024-T3    , 710519.721463318
44.48033797274439 ,  0.6000000000000001,                     0.8,                40.0              ,              59.99999999999999,               200.0,            500.0, AA2024-T3              , AA2024-T3    ,   6125.849387977426
