mass [kg]         , rivet spacing [mm], stringer type, skin thickness [mm], stringer thickness [mm], stringer cross-section area [mm2], frame cross-section area [mm2], stringer pitch [mm], frame pitch [mm]  , stringer/frame material, skin material, stress margin [%]
24.798645627503046,  33.02052503682091, z            ,                 0.3,      0.8               ,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
24.798645627503046,  33.02052503682091, j            ,                 0.3,      0.8               ,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
24.798645627503046,  33.02052503682091, z            ,                 0.3,      0.9000000000000001,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
24.798645627503046,  33.02052503682091, formed z     ,                 0.3,      0.8               ,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
24.798645627503046,  33.02052503682091, j            ,                 0.3,      0.9000000000000001,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
24.798645627503046,  33.02052503682091, formed z     ,                 0.3,      0.9000000000000001,                              35.0,                           20.0,               200.0, 449.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
25.10358455146566 ,  33.02052503682091, j            ,                 0.3,      0.8               ,                              35.0,                           20.0,               200.0, 399.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
25.10358455146566 ,  33.02052503682091, z            ,                 0.3,      0.9000000000000001,                              35.0,                           20.0,               200.0, 399.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
25.10358455146566 ,  33.02052503682091, formed z     ,                 0.3,      0.9000000000000001,                              35.0,                           20.0,               200.0, 399.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
25.10358455146566 ,  33.02052503682091, z            ,                 0.3,      0.8               ,                              35.0,                           20.0,               200.0, 399.99999999999994, AA2024-T3              , AA2024-T3    , 2919.455291421721
