SALE,CLL (DELTAY=1.4),CLL (DELTAY=1.6),CLL (DELTAY=1.8),CLL (DELTAY=2.0),CLL (DELTAY=2.2),CLL (DELTAY=2.4),CLL (DELTAY=2.5)
0,0.9,0.9,0.9,0.9,0.9,0.9,0.9
5,0.915,0.91,0.91,0.9,0.895,0.89,0.89
10,0.93,0.92,0.92,0.9,0.89,0.88,0.87
15,0.95,0.94,0.93,0.9,0.88,0.87,0.86
20,0.975,0.96,0.94,0.9,0.87,0.85,0.84
25,1.0,0.98,0.95,0.9,0.86,0.83,0.82
30,1.03,1.0,0.96,0.89,0.85,0.81,0.795
35,1.07,1.02,0.965,0.89,0.835,0.79,0.77
40,1.1,1.05,0.975,0.885,0.82,0.76,0.73
45,1.15,1.08,0.99,0.88,0.8,0.725,0.7
50,1.19,1.11,1.0,0.88,0.78,0.695,0.65
55,1.25,1.15,1.01,0.875,0.755,0.65,0.59
60,1.3,1.19,1.03,0.87,0.73,0.59,0.52
