C1ABC,DYAG=0.00,DYAG=0.25,DYAG=0.50,DYAG=0.75,DYAG=1.00,DYAG=1.35
0.0,0.9,0.75,0.65,0.6,0.4,0.4
0.2,1.38,1.28,1.21,1.11,1.02,1.02
0.4,1.58,1.47,1.39,1.3,1.2,1.2
0.6,1.65,1.55,1.47,1.37,1.29,1.29
0.8,1.65,1.56,1.47,1.38,1.31,1.31
1.0,1.58,1.5,1.4,1.33,1.26,1.26
1.2,1.45,1.38,1.27,1.22,1.18,1.18
1.4,1.32,1.27,1.17,1.13,1.11,1.09
1.6,1.21,1.17,1.08,1.06,1.04,1.02
1.8,1.13,1.08,1.02,1.01,0.98,0.96
2.0,1.06,1.02,0.97,0.96,0.94,0.91
2.2,1.02,0.98,0.94,0.92,0.9,0.87
2.4,0.99,0.94,0.92,0.90,0.88,0.85
2.6,0.96,0.92,0.90,0.88,0.86,0.84
2.8,0.94,0.9,0.88,0.86,0.84,0.82
3.0,0.92,0.89,0.87,0.85,0.83,0.81
3.2,0.91,0.88,0.86,0.84,0.82,0.8
3.4,0.9,0.87,0.85,0.83,0.82,0.8
3.6,0.9,0.87,0.84,0.83,0.81,0.8
