D18B2,C18B2 (T18B2=0.0),C18B2 (T18B2=2.0),C18B2 (T18B2=3.0),C18B2 (T18B2=4.0),C18B2 (T18B2=5.0),C18B2 (T18B2=6.0),C18B2 (T18B2=7.0),C18B2 (T18B2=8.0),C18B2 (T18B2=9.0),C18B2 (T18B2=30.0)
0.0,10.0,8.7,7.5,5.5,3.0,0.3,-2.2,-3.3,-4.2,-8.5
0.5,8.5,7.3,5.9,3.4,0.7,-2.5,-5.0,-6.6,-7.0,-7.9
1.0,6.9,5.3,4.2,1.6,-1.4,-4.7,-6.7,-7.2,-7.2,-7.2
1.5,5.5,4.2,2.5,0.0,-3.3,-5.8,-6.3,-6.3,-6.3,-6.3
2.0,4.0,2.6,1.2,-1.3,-4.3,-5.3,-5.3,-5.3,-5.3,-5.3
2.5,2.6,1.4,0.0,-2.1,-4.3,-4.3,-4.3,-4.3,-4.3,-4.3
3.0,1.5,0.5,-0.7,-2.5,-3.1,-3.1,-3.1,-3.1,-3.1,-3.1
3.5,0.7,-0.2,-1.1,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
4.0,0.1,-0.5,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
