df,dCdp (cf=0.10),dCdp (cf=0.20),dCdp (cf=0.30)
10,0.006556940169656966,0.002893926882366199,0.0012183769987238469
15,0.011305832895428247,0.006488626979956474,0.0031375272126717424
20,0.017416109901659038,0.009875384730876097,0.004744013212221315
25,0.02634712108700557,0.013782749042864695,0.0065584415584416245
30,0.037167630057803464,0.019052248329705035,0.008790255986787815
35,0.05071015689512805,0.02641618497109835,0.011756624878012184
40,0.06488326702199543,0.03545642219052628,0.015141130545754972
45,0.08145972524585252,0.04596276555814133,0.019362660460926467
50,0.09887696118910001,0.05877073793258775,0.024108550409128487
55,0.11828166053599587,0.07283537271976585,0.02916635387733657
60,0.1387380827265221,0.08795022896178974,0.034751520156144494
