Fuselage Reynolds Number (M = 0.25),Wing-Fuse Interference Factor (M = 0.25)
3000000.000000001,1.0629411764705883
3957187.742386771,1.0670588235294118
4948440.628316666,1.0705882352941178
6977717.440982876,1.0741176470588236
9938145.164846953,1.0761764705882353
15334613.375199763,1.072058823529412
19694564.661700755,1.0664705882352943
24545908.640694067,1.058529411764706
30086172.267936874,1.043529411764706
34959971.557679966,1.0229411764705882
38511595.529612295,1.0023529411764707
40353131.43338187,0.9876470588235295
42141888.27774323,0.9752941176470589
44750268.40788764,0.9650000000000001
48158529.84146984,0.9552941176470588
53406193.27381973,0.9464705882352942
59423606.52947551,0.94
70211466.27707095,0.9335294117647059
88386861.52152024,0.9299999999999999
150236566.20442092,0.9247058823529413
247812242.6882476,0.9235294117647059
494380996.7454844,0.9241176470588236
687877114.5742855,0.925
