Fuselage Reynolds Number (M = 0.4),Wing-Fuse Interference Factor (M = 0.4)
3050465.7863379894,1.02
4023755.2727556447,1.0217647058823531
4998219.288205383,1.0238235294117648
6004947.933668461,1.026764705882353
7047909.537722736,1.0291176470588237
8961628.439538287,1.0341176470588236
11703220.612262212,1.042058823529412
14831429.902364537,1.05
18423272.28785376,1.0579411764705884
23425743.47762336,1.0588235294117647
26415369.46738179,1.0555882352941177
29588437.676648602,1.0508823529411766
32703290.79348836,1.0397058823529413
35194032.608637504,1.0305882352941178
38383319.4965838,1.0223529411764707
42001520.31380253,1.0138235294117648
47361812.799693376,1.0061764705882354
53228305.69170043,0.9982352941176471
60423226.20632536,0.9917647058823531
67681387.72526139,0.9888235294117648
77344330.3963322,0.9855882352941177
88682248.0622498,0.9823529411764707
102022012.06249295,0.9805882352941178
120946109.11775203,0.9797058823529412
151747865.5194304,0.9776470588235295
194892957.3001753,0.9764705882352942
235715448.79908296,0.9758823529411764
309887791.46808064,0.9750000000000001
394031624.5862841,0.9747058823529412
489457318.51661676,0.9752941176470589
590007792.1865416,0.9750000000000001
687877114.5742884,0.9752941176470589
