xflr5 v6.61

NACA 23012 Test Wing
T1-72.0 m/s-LLT
QInf  =   72.000000 m/s
Alpha =    3.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.403713
Cy    =    0.000000
Cd    =    0.010934     ICd   =    0.005797     PCd   =    0.005138
Cl   = -1.42506e-17
Cm   =   -0.112109
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.463469     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending = 52341.512081

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -7.5064     0.9828    -2.822    0.192613    0.005793    0.009488   -0.033776   -0.007373     0.2481    0.4937    0.2854    0.0000
   -7.2280     1.0359    -1.642    0.313944    0.005434    0.008996   -0.050204   -0.004846     0.2144    0.6917    0.2609   31.1233
   -6.7716     1.1228    -1.021    0.377686    0.005261    0.006727   -0.062553   -0.003406     0.2012    0.7826    0.2539   255.2775
   -6.1485     1.2415    -0.741    0.408993    0.005218    0.005291   -0.074144   -0.003322     0.1943    0.7892    0.2529   1014.2017
   -5.3740     1.3891    -0.631    0.422538    0.005178    0.004655   -0.085404   -0.003539     0.1896    0.7796    0.2531   2830.1789
   -4.4672     1.5619    -0.616    0.426064    0.005131    0.004581   -0.096726   -0.003911     0.1863    0.7602    0.2539   6377.2273
   -3.4503     1.7556    -0.660    0.423359    0.005090    0.004876   -0.108033   -0.004368     0.1843    0.7329    0.2551   12421.0948
   -2.3485     1.9655    -0.752    0.415487    0.005071    0.005451   -0.118779   -0.004877     0.1827    0.6972    0.2566   21724.4161
   -1.1889     2.1865    -0.892    0.402462    0.005073    0.006268   -0.128189   -0.005455     0.1816    0.6522    0.2585   34916.0515
   -0.0000     2.4130    -1.123    0.379893    0.005102    0.007447   -0.134016   -0.006163     0.1829    0.5917    0.2613   52341.5121
    1.1889     2.1865    -0.892    0.402462    0.005073    0.006268   -0.128189   -0.005455     0.1816    0.6522    0.2585   34916.0515
    2.3485     1.9655    -0.752    0.415487    0.005071    0.005451   -0.118779   -0.004877     0.1827    0.6972    0.2566   21724.4161
    3.4503     1.7556    -0.660    0.423359    0.005090    0.004876   -0.108033   -0.004368     0.1843    0.7329    0.2551   12421.0948
    4.4672     1.5619    -0.616    0.426064    0.005131    0.004581   -0.096726   -0.003911     0.1863    0.7602    0.2539   6377.2273
    5.3740     1.3891    -0.631    0.422538    0.005178    0.004655   -0.085404   -0.003539     0.1896    0.7796    0.2531   2830.1789
    6.1485     1.2415    -0.741    0.408993    0.005218    0.005291   -0.074144   -0.003322     0.1943    0.7892    0.2529   1014.2017
    6.7716     1.1228    -1.021    0.377686    0.005261    0.006727   -0.062553   -0.003406     0.2012    0.7826    0.2539   255.2775
    7.2280     1.0359    -1.642    0.313944    0.005434    0.008996   -0.050204   -0.004846     0.2144    0.6917    0.2609   31.1233
    7.5064     0.9828    -2.822    0.192613    0.005793    0.009488   -0.033776   -0.007373     0.2481    0.4937    0.2854    0.0000




